spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
3,11721,0.2938373406761967,0.8683175541661505,194,true,false,true,false,lzf,17,25,org.apache.spark.serializer.JavaSerializer,184702
3,17215,0.7487064258080934,0.876606602542071,157,false,true,false,false,lz4,76,39,org.apache.spark.serializer.JavaSerializer,179919
3,19764,0.49437709538244357,0.4100095000233285,106,true,false,false,false,snappy,40,30,org.apache.spark.serializer.KryoSerializer,231951
2,12749,0.7921776697106948,0.8404536114026663,189,false,false,true,false,lzf,43,47,org.apache.spark.serializer.JavaSerializer,195411
4,13063,0.12155094885113887,0.22270267365279645,190,false,true,true,false,snappy,44,31,org.apache.spark.serializer.KryoSerializer,173607
1,8210,0.5143499096519581,0.527603745614037,28,true,false,false,false,lz4,41,26,org.apache.spark.serializer.JavaSerializer,242902
4,9291,0.2371557840035238,0.20237599504852125,141,false,true,true,false,lz4,89,56,org.apache.spark.serializer.JavaSerializer,180095
4,17905,0.6439766953814885,0.6312193694910307,146,false,true,false,true,lzf,14,39,org.apache.spark.serializer.JavaSerializer,182171
3,11977,0.47259335527039104,0.30765419581837317,116,false,true,false,false,lzf,31,39,org.apache.spark.serializer.KryoSerializer,200049
3,19329,0.12149398136440458,0.5792548919524518,17,false,true,false,false,lz4,29,27,org.apache.spark.serializer.KryoSerializer,230574
2,7961,0.8201248578693134,0.3786140277621943,15,true,false,false,true,lzf,32,33,org.apache.spark.serializer.KryoSerializer,268349
2,13918,0.8508145810898873,0.4392244693262771,35,true,false,true,false,lz4,17,13,org.apache.spark.serializer.KryoSerializer,237070
4,16133,0.5456683551476263,0.5809819793829487,164,true,true,true,true,snappy,46,46,org.apache.spark.serializer.JavaSerializer,201062
4,10353,0.4789574903755097,0.3587080419315789,20,true,true,true,true,lz4,21,25,org.apache.spark.serializer.JavaSerializer,214070
3,16673,0.7433493996704545,0.23950606238178143,84,true,true,false,false,snappy,81,21,org.apache.spark.serializer.KryoSerializer,225740
1,8428,0.423704908605678,0.4711614069830202,22,true,false,true,false,snappy,25,41,org.apache.spark.serializer.JavaSerializer,270595
3,12329,0.4753290960103618,0.2306145855841556,115,true,true,false,true,lzf,54,17,org.apache.spark.serializer.JavaSerializer,226300
2,6485,0.5865909424969872,0.17286417943818125,35,true,false,true,true,lzf,80,64,org.apache.spark.serializer.JavaSerializer,191587
1,5725,0.42148569459234286,0.8826247985572077,143,false,true,true,true,lz4,87,43,org.apache.spark.serializer.KryoSerializer,257285
1,4914,0.6496466213073598,0.5379041880909229,195,true,true,true,false,snappy,36,56,org.apache.spark.serializer.KryoSerializer,236813
2,16894,0.7251067421061527,0.8205198375945421,145,true,true,false,true,lz4,11,25,org.apache.spark.serializer.JavaSerializer,211518
2,17305,0.5118150530566872,0.4227472299503209,52,false,true,true,false,lzf,48,56,org.apache.spark.serializer.KryoSerializer,199598
3,14684,0.248706376349132,0.4731580808240804,150,true,false,false,false,lz4,30,23,org.apache.spark.serializer.JavaSerializer,205786
4,8981,0.6094386163594876,0.3066217007972968,57,true,false,false,false,snappy,44,59,org.apache.spark.serializer.KryoSerializer,190313
4,13407,0.4993190319409291,0.39309551479742555,45,true,false,false,false,snappy,24,32,org.apache.spark.serializer.JavaSerializer,204944
2,20474,0.10692625957851343,0.8365852364648794,24,false,true,false,false,snappy,32,8,org.apache.spark.serializer.KryoSerializer,235592
2,13328,0.4142742885738707,0.268522415616358,151,false,true,true,true,lzf,12,14,org.apache.spark.serializer.KryoSerializer,224063
3,12735,0.3971281726963495,0.3827281233975789,194,false,false,false,false,lzf,22,51,org.apache.spark.serializer.KryoSerializer,205995
2,11175,0.6113618787428103,0.7742488981819408,156,true,false,true,false,lzf,79,27,org.apache.spark.serializer.JavaSerializer,228366
1,12947,0.7185092816986483,0.24348592683160453,162,true,true,false,false,snappy,13,51,org.apache.spark.serializer.KryoSerializer,354925
3,4691,0.761886178521093,0.16462239970534967,123,false,false,true,false,snappy,85,22,org.apache.spark.serializer.KryoSerializer,152932
2,19268,0.3815712548053518,0.7943727387612659,121,true,false,true,false,lzf,26,29,org.apache.spark.serializer.KryoSerializer,227189
