XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,100,50,FALSE,20000,TRUE,1024,4675.664724
64,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,10,100,TRUE,20000,TRUE,2048,6306.893435
64,128,256,org.apache.coyote.http11.Http11Protocol,4096,500,50,75,100,50,TRUE,20000,TRUE,1024,6528.267398
256,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,100,200,TRUE,20000,FALSE,1024,5583.369005
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,500,50,250,100,100,FALSE,20000,TRUE,2048,6539.937217
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,500,50,75,10,50,TRUE,20000,TRUE,1024,4536.656182
128,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,250,100,200,TRUE,20000,FALSE,2048,6003.602161
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,10,100,TRUE,20000,FALSE,1024,5318.111716
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,75,10,100,TRUE,20000,FALSE,2048,6189.906326
128,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,10,50,TRUE,20000,TRUE,1024,5914.709883
128,64,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,75,10,200,FALSE,20000,FALSE,1024,4706.84218
128,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,1000,50,75,50,50,FALSE,20000,TRUE,1024,7562.389715
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,75,100,200,TRUE,20000,TRUE,2048,5822.077317
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,75,10,100,FALSE,20000,FALSE,2048,5550.62167
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,75,100,100,FALSE,20000,FALSE,1024,5215.849227
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,1000,50,250,100,200,TRUE,20000,TRUE,1024,6307.821699
64,256,512,org.apache.coyote.http11.Http11Protocol,8192,1000,50,75,10,100,FALSE,20000,TRUE,2048,6584.723442
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,75,50,200,TRUE,20000,TRUE,2048,4678.216664
256,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,75,50,50,TRUE,20000,FALSE,1024,5515.010019
128,256,512,org.apache.coyote.http11.Http11Protocol,4096,1000,50,75,10,100,TRUE,20000,TRUE,1024,6541.933796
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,1000,50,75,100,50,TRUE,20000,TRUE,1024,6563.689669
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,250,100,50,TRUE,20000,TRUE,2048,5838.961443
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,75,100,200,FALSE,20000,TRUE,1024,3911.138924
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,200,50,75,10,200,FALSE,20000,FALSE,1024,6497.585064
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,100,100,TRUE,20000,FALSE,2048,4503.76064
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,75,50,100,FALSE,20000,FALSE,1024,6261.871465
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,75,100,50,TRUE,20000,TRUE,1024,6468.305304
